Primary_Key,Rank,Nom,Selection,Club,Poste,Points,year
24,1,Jean-Pierre Papin,France,Marseille,Attaquant,141,1991
25,2,Dejan Savicevic,Yugoslavia,Red Star Belgrade,Attaquant,42,1991
26,2,Darko Pancev,Yugoslavia,Red Star Belgrade,Attaquant,42,1991
27,2,Lothar Matthaus,Germany,Inter Milan,Attaquant,42,1991
28,5,Robert Prosinecki,Yugoslavia,Red Star Belgrade  Real Madrid,Attaquant,34,1991
29,6,Gary Lineker,England,Tottenham Hotspur,Attaquant,33,1991
30,7,Gianluca Vialli,Italy,Sampdoria,Attaquant,18,1991
31,8,Miodrag Belodedici,Romania,Red Star Belgrade,Attaquant,15,1991
32,9,Mark Hughes,Wales,Manchester United,Attaquant,12,1991
33,10,Chris Waddle,England,Marseille,Attaquant,11,1991
34,11,Michael Laudrup,Denmark,Barcelona,Attaquant,7,1991
35,12,Rudi Voller,Germany,Roma,Attaquant,5,1991
36,13,Txiki Begiristain,Spain,Barcelona,Attaquant,3,1991
37,13,Stephane Chapuisat,Switzerland,Borussia Dortmund,Attaquant,3,1991
38,13,Bruno Martini,France,Auxerre,Attaquant,3,1991
39,13,Paul McGrath,Republic of Ireland,Aston Villa,Attaquant,3,1991
40,13,Dean Saunders,Wales,Derby County  Liverpool,Attaquant,3,1991
41,13,Hristo Stoichkov,Bulgaria,Barcelona,Attaquant,3,1991
42,19,Roberto Mancini,Italy,Sampdoria,Attaquant,2,1991
43,19,Marco van Basten,Netherlands,Milan AC,Attaquant,2,1991
44,21,Guido Buchwald,Germany,VfB Stuttgart,Attaquant,1,1991
45,21,Thomas Doll,Germany,Lazio,Attaquant,1,1991
46,21,Stefan Effenberg,Germany,Bayern Munich,Attaquant,1,1991
47,21,Ruud Gullit,Netherlands,Milan AC,Attaquant,1,1991
48,21,Gheorghe Hagi,Romania,Real Madrid,Attaquant,1,1991
49,21,Alexei Mikhailichenko,Soviet Union,Rangers,Attaquant,1,1991
50,21,Gary Pallister,England,Manchester United,Attaquant,1,1991
51,21,Dimitris Saravakos,Greece,Panathinaikos,Attaquant,1,1991
52,21,Gianluca Pagliuca,Italy,Sampdoria,Attaquant,1,1991
53,21,Guy Hellers,Luxembourg,Standard Liege,Attaquant,1,1991
54,21,Laurent Blanc,France,Napoli,Attaquant,1,1991
