Primary_Key,Rank,Nom,Club,Selection,Poste,Points,Confederation,Type,Year
199,1,Ronaldo,FC Barcelone  Inter Milan,Brazil,Attaquant,222,UEFA,1,1997
200,2,Predrag Mijatovic,Real Madrid,Yougoslavie,Attaquant,68,UEFA,1,1997
201,3,Zinedine Zidane,Juventus FC,France,Attaquant,63,UEFA,1,1997
202,4,Dennis Bergkamp,Arsenal,Pays-Bas,Attaquant,53,UEFA,1,1997
203,5,Roberto Carlos,Real Madrid,Brazil,Attaquant,47,UEFA,1,1997
204,6,Andreas Moller,Borussia Dortmund,Allemagne,Attaquant,40,UEFA,1,1997
205,7,Raul,Real Madrid,Espagne,Attaquant,35,UEFA,1,1997
206,8,Peter Schmeichel,Manchester United,Danemark,Attaquant,19,UEFA,1,1997
207,9,Jurgen Kohler,Borussia Dortmund,Allemagne,Attaquant,17,UEFA,1,1997
208,10,Matthias Sammer,Borussia Dortmund,Allemagne,Attaquant,16,UEFA,1,1997
209,10,Christian Vieri,Atletico Madrid,Italie,Attaquant,16,UEFA,1,1997
210,12,Youri Djorkaeff,Inter Milan,France,Attaquant,15,UEFA,1,1997
211,13,Luis Enrique,FC Barcelone,Espagne,Attaquant,14,UEFA,1,1997
212,14,Luis Figo,FC Barcelone,Portugal,Attaquant,12,UEFA,1,1997
213,15,Gianfranco Zola,Chelsea,Italie,Attaquant,11,UEFA,1,1997
214,15,Krasimir Balakov,VfB Stuttgart,Bulgarie,Attaquant,11,UEFA,1,1997
215,17,Didier Deschamps,Juventus FC,France,Attaquant,10,UEFA,1,1997
216,17,Clarence Seedorf,Real Madrid,Pays-Bas,Attaquant,10,UEFA,1,1997
217,19,Alessandro Del Piero,Juventus FC,Italie,Attaquant,9,UEFA,1,1997
218,19,Alan Shearer,Newcastle United,Anglettere,Attaquant,9,UEFA,1,1997
219,19,David Beckham,Manchester United,Anglettere,Attaquant,9,UEFA,1,1997
220,22,Fernando Hierro,Real Madrid,Espagne,Attaquant,8,UEFA,1,1997
221,23,Gabriel Batistuta,Fiorentina,Argentine,Attaquant,7,UEFA,1,1997
222,24,Olaf Thon,Schalke 04,Allemagne,Attaquant,6,UEFA,1,1997
223,25,Juninho,Atletico Madrid,Brazil,Attaquant,5,UEFA,1,1997
224,25,Paulo Sousa,Borussia Dortmund,Portugal,Attaquant,5,UEFA,1,1997
225,25,Lilian Thuram,Parma,France,Attaquant,5,UEFA,1,1997
226,28,Ryan Giggs,Manchester United,Pays de Galles,Attaquant,4,UEFA,1,1997
227,29,Oliver Bierhoff,Udinese,Allemagne,Attaquant,3,UEFA,1,1997
228,29,Angelo Peruzzi,Juventus FC,Italie,Attaquant,3,UEFA,1,1997
229,29,Rai,Paris Saint-Germain,Brazil,Attaquant,3,UEFA,1,1997
230,32,Victor Ikpeba,Monaco,Nigeria,Attaquant,2,UEFA,1,1997
231,33,Laurent Blanc,Marseille,France,Attaquant,1,UEFA,1,1997
232,33,Ciro Ferrara,Juventus FC,Italie,Attaquant,1,UEFA,1,1997
233,33,Rivaldo,FC Barcelone,Brazil,Attaquant,1,UEFA,1,1997
234,33,Bent Skammelsrud,Rosenborg,Norvege,Attaquant,1,UEFA,1,1997
